time_bin,x_norm,y_norm,x_px,y_px,method,smooth_alpha
80,0.5679716,0.2643295,181,135,hybrid,0.7000
81,0.5697645,0.2608313,182,133,hybrid,0.7000
82,0.5746911,0.2584065,183,132,hybrid,0.7000
83,0.5805578,0.2535534,185,129,hybrid,0.7000
84,0.5867065,0.2534727,187,129,hybrid,0.7000
85,0.5885512,0.2479475,188,126,hybrid,0.7000
86,0.5825214,0.2490404,186,127,hybrid,0.7000
87,0.5960730,0.2424921,190,123,hybrid,0.7000
88,0.6001385,0.2350266,191,120,hybrid,0.7000
89,0.6057469,0.2327870,193,118,hybrid,0.7000
90,0.6140125,0.2307398,196,117,hybrid,0.7000
91,0.6208808,0.2273752,198,116,hybrid,0.7000
92,0.6251357,0.2249905,199,115,hybrid,0.7000
93,0.6286066,0.2228999,201,113,hybrid,0.7000
94,0.6340365,0.2208975,202,112,hybrid,0.7000
95,0.6400542,0.2202968,204,112,hybrid,0.7000
96,0.6418595,0.2173660,205,111,hybrid,0.7000
97,0.6467898,0.2137363,206,109,hybrid,0.7000
98,0.6548520,0.2112722,209,108,hybrid,0.7000
99,0.6572707,0.2105329,210,107,hybrid,0.7000
100,0.6645793,0.2103112,212,107,hybrid,0.7000
101,0.6667719,0.2088694,213,106,hybrid,0.7000
102,0.6674297,0.2056864,213,105,hybrid,0.7000
103,0.6632383,0.2033562,212,104,hybrid,0.7000
104,0.6575922,0.1999067,210,102,hybrid,0.7000
105,0.6537040,0.1961213,209,100,hybrid,0.7000
106,0.6481488,0.1922352,207,98,hybrid,0.7000
107,0.6486766,0.1896941,207,97,hybrid,0.7000
108,0.6510293,0.1930576,208,98,hybrid,0.7000
109,0.5946819,0.2710803,190,138,hybrid,0.7000
110,0.5624171,0.2931119,179,149,hybrid,0.7000
111,0.6010135,0.2419611,192,123,hybrid,0.7000
112,0.5555392,0.2802504,177,143,hybrid,0.7000
113,0.5835897,0.2009710,186,102,hybrid,0.7000
114,0.5393402,0.2652029,172,135,hybrid,0.7000
115,0.5172880,0.2844725,165,145,hybrid,0.7000
116,0.5523651,0.2173653,176,111,hybrid,0.7000
117,0.5058349,0.2687459,161,137,hybrid,0.7000
118,0.5357630,0.2112721,171,108,hybrid,0.7000
119,0.6123087,0.0633816,195,32,hybrid,0.7000
120,0.6275265,0.0190145,200,10,hybrid,0.7000
121,0.6298909,0.0057043,201,3,hybrid,0.7000
122,0.6201117,0.0017113,198,1,hybrid,0.7000
123,0.6051759,0.0005134,193,0,hybrid,0.7000
124,0.5941207,0.0001540,190,0,hybrid,0.7000
125,0.5803802,0.0000462,185,0,hybrid,0.7000
126,0.5717815,0.0000139,182,0,hybrid,0.7000
127,0.5609480,0.0000042,179,0,hybrid,0.7000
128,0.5412525,0.0000012,173,0,hybrid,0.7000
129,0.5190915,0.0000004,166,0,hybrid,0.7000
130,0.4967062,0.0000001,158,0,hybrid,0.7000
131,0.4880199,0.0000000,156,0,hybrid,0.7000
132,0.4683281,0.0000000,149,0,hybrid,0.7000
133,0.4564817,0.0000000,146,0,hybrid,0.7000
134,0.4509374,0.0000000,144,0,hybrid,0.7000
135,0.4422954,0.0000000,141,0,hybrid,0.7000
136,0.4374787,0.0000000,140,0,hybrid,0.7000
137,0.4293284,0.0000000,137,0,hybrid,0.7000
138,0.4296083,0.0000000,137,0,hybrid,0.7000
139,0.4483057,0.0000000,143,0,hybrid,0.7000
140,0.4640429,0.0000000,148,0,hybrid,0.7000
141,0.4862662,0.0000000,155,0,hybrid,0.7000
142,0.3192341,0.1127701,102,57,hybrid,0.7000
143,0.4509343,0.0338310,144,17,hybrid,0.7000
144,0.4103382,0.0101493,131,5,hybrid,0.7000
145,0.3629004,0.0030448,116,2,hybrid,0.7000
146,0.3402721,0.0009134,109,0,hybrid,0.7000
147,0.3571742,0.0002740,114,0,hybrid,0.7000
148,0.3655692,0.0000822,117,0,hybrid,0.7000
149,0.3945284,0.0000247,126,0,hybrid,0.7000
150,0.4587846,0.0000074,146,0,hybrid,0.7000
151,0.5032430,0.0000022,161,0,hybrid,0.7000
152,0.5340138,0.0000007,170,0,hybrid,0.7000
153,0.5531589,0.0000002,176,0,hybrid,0.7000
154,0.5853878,0.0000001,187,0,hybrid,0.7000
155,0.5861596,0.0000000,187,0,hybrid,0.7000
156,0.6146680,0.0000000,196,0,hybrid,0.7000
157,0.6358556,0.0000000,203,0,hybrid,0.7000
158,0.6566228,0.0000000,209,0,hybrid,0.7000
159,0.6755987,0.0000000,216,0,hybrid,0.7000
160,0.6917841,0.0000000,221,0,hybrid,0.7000
161,0.7099147,0.0000000,226,0,hybrid,0.7000
162,0.7328023,0.0000000,234,0,hybrid,0.7000
163,0.7213786,0.0000000,230,0,hybrid,0.7000
164,0.7478666,0.0000000,239,0,hybrid,0.7000
165,0.7527052,0.0000000,240,0,hybrid,0.7000
166,0.7349538,0.0124790,234,6,hybrid,0.7000
167,0.7624362,0.0037437,243,2,hybrid,0.7000
168,0.7742215,0.0011231,247,1,hybrid,0.7000
169,0.7810389,0.0003369,249,0,hybrid,0.7000
170,0.7845623,0.0001011,250,0,hybrid,0.7000
171,0.7905902,0.0000303,252,0,hybrid,0.7000
172,0.7951137,0.0000091,254,0,hybrid,0.7000
173,0.8001021,0.0000027,255,0,hybrid,0.7000
174,0.8228346,0.0000008,262,0,hybrid,0.7000
175,0.8311325,0.0000002,265,0,hybrid,0.7000
176,0.6860169,0.1966602,219,100,hybrid,0.7000
177,0.6424822,0.2639096,205,134,hybrid,0.7000
178,0.6403936,0.2772083,204,141,hybrid,0.7000
179,0.6397670,0.2839483,204,145,hybrid,0.7000
180,0.6505508,0.2845951,208,145,hybrid,0.7000
181,0.6603690,0.2875396,211,146,hybrid,0.7000
182,0.6742862,0.2911735,215,148,hybrid,0.7000
183,0.6806558,0.2922636,217,149,hybrid,0.7000
184,0.6869553,0.2939659,219,150,hybrid,0.7000
185,0.6844565,0.2986023,218,152,hybrid,0.7000
186,0.6924843,0.2972428,221,151,hybrid,0.7000
187,0.6992813,0.2982102,223,152,hybrid,0.7000
188,0.7079035,0.2998756,226,153,hybrid,0.7000
189,0.7126845,0.3003753,227,153,hybrid,0.7000
190,0.7207019,0.3019004,230,154,hybrid,0.7000
191,0.7253015,0.3037332,231,155,hybrid,0.7000
192,0.7222927,0.3015325,230,153,hybrid,0.7000
193,0.7126126,0.2994971,227,152,hybrid,0.7000
194,0.6153511,0.4391615,196,224,hybrid,0.7000
195,0.6849188,0.3421610,218,174,hybrid,0.7000
196,0.8316055,0.1026533,265,52,hybrid,0.7000
197,0.8726734,0.0338219,278,17,hybrid,0.7000
198,0.8944851,0.0101466,285,5,hybrid,0.7000
199,0.8824345,0.0030440,281,2,hybrid,0.7000
200,0.8701792,0.0009132,278,0,hybrid,0.7000
201,0.8721300,0.0002740,278,0,hybrid,0.7000
202,0.8706510,0.0000822,278,0,hybrid,0.7000
203,0.8509473,0.0072807,271,4,hybrid,0.7000
204,0.8478065,0.0021842,270,1,hybrid,0.7000
205,0.8308657,0.0080785,265,4,hybrid,0.7000
206,0.8388830,0.0024235,268,1,hybrid,0.7000
207,0.8277934,0.0007271,264,0,hybrid,0.7000
208,0.8267012,0.0002181,264,0,hybrid,0.7000
209,0.8163528,0.0000654,260,0,hybrid,0.7000
210,0.8171835,0.0000196,261,0,hybrid,0.7000
211,0.8174363,0.0000059,261,0,hybrid,0.7000
212,0.8184303,0.0000018,261,0,hybrid,0.7000
213,0.7946329,0.0000005,253,0,hybrid,0.7000
214,0.7951810,0.0000002,254,0,hybrid,0.7000
215,0.7923999,0.0000000,253,0,hybrid,0.7000
216,0.7727137,0.0000000,246,0,hybrid,0.7000
217,0.7614698,0.0000000,243,0,hybrid,0.7000
218,0.7520407,0.0000000,240,0,hybrid,0.7000
219,0.7161913,0.0171866,228,9,hybrid,0.7000
220,0.7327478,0.0051560,234,3,hybrid,0.7000
221,0.7372167,0.0015468,235,1,hybrid,0.7000
222,0.7305692,0.0004640,233,0,hybrid,0.7000
223,0.7096911,0.0001392,226,0,hybrid,0.7000
224,0.7026490,0.0000418,224,0,hybrid,0.7000
225,0.6940431,0.0000125,221,0,hybrid,0.7000
226,0.4737302,0.1801609,151,92,hybrid,0.7000
227,0.4120250,0.2342055,131,119,hybrid,0.7000
228,0.3825417,0.2490436,122,127,hybrid,0.7000
229,0.3736967,0.2521197,119,128,hybrid,0.7000
230,0.3666545,0.2544178,117,129,hybrid,0.7000
231,0.3601531,0.2551073,115,130,hybrid,0.7000
232,0.3582027,0.2553141,114,130,hybrid,0.7000
233,0.3554232,0.2553762,113,130,hybrid,0.7000
234,0.3545893,0.2553948,113,130,hybrid,0.7000
235,0.3521448,0.2554004,112,130,hybrid,0.7000
236,0.3492171,0.2540268,111,129,hybrid,0.7000
237,0.3461444,0.2549900,110,130,hybrid,0.7000
238,0.3540001,0.2539037,113,129,hybrid,0.7000
239,0.3651342,0.4722418,116,240,hybrid,0.7000
